ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Margen_Ganancia,Categoria_Ventas,Clasificacion_Compra,Estado_Pedido,NuevaColumna
10347,30,131.49,1,3944.7,29/11/2019,229,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,-1.1528059190469848e-16,Pequeña,Distante,Completado,3944.7000000000003
10357,32,177.87,10,5691.84,10/12/2019,219,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium,0.0,Mediana,Distante,Completado,5691.84
10369,41,110.12,2,4514.92,20/01/2020,179,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Medium,0.0,Pequeña,Distante,Completado,4514.92
10391,24,100.69,4,2416.56,09/03/2020,131,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small,0.0,Pequeña,Distante,Completado,2416.56
10411,23,180.01,9,4140.23,01/05/2020,79,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Medium,0.0,Pequeña,Moderado,Completado,4140.23
10424,50,240.02,6,12001.0,31/05/2020,50,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,0.0,Mediana,Moderado,En Proceso,12001.0
10107,39,99.91,5,3896.49,24/02/2018,878,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,0.0,Pequeña,Distante,Completado,3896.49
10120,29,96.34,3,2793.86,29/04/2018,815,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small,0.0,Pequeña,Distante,Completado,2793.86
10134,27,122.51,5,3307.77,01/07/2018,753,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium,0.0,Pequeña,Distante,Completado,3307.77
10145,37,140.35,9,5192.95,25/08/2018,699,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium,0.0,Mediana,Distante,Completado,5192.95
10168,27,135.59,4,3660.93,28/10/2018,636,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,-1.2421634690815288e-16,Pequeña,Distante,Completado,3660.9300000000003
10180,42,111.8,12,4695.6,11/11/2018,623,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Medium,1.936908386091081e-16,Pequeña,Distante,Completado,4695.599999999999
10188,38,96.34,4,3660.92,18/11/2018,617,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium,0.0,Pequeña,Distante,Completado,3660.92
10210,23,130.83,2,3009.09,12/01/2019,563,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium,0.0,Pequeña,Distante,Completado,3009.09
10223,47,115.37,4,5422.39,20/02/2019,525,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,0.0,Mediana,Distante,Completado,5422.39
10236,22,129.64,1,2852.08,03/04/2019,484,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small,0.0,Pequeña,Distante,Completado,2852.08
10251,44,130.83,5,5756.52,18/05/2019,440,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Medium,0.0,Mediana,Distante,Completado,5756.52
10263,40,111.8,5,4472.0,28/06/2019,400,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Medium,0.0,Pequeña,Distante,Completado,4472.0
10275,22,132.02,4,2904.44,23/07/2019,376,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small,0.0,Pequeña,Distante,Completado,2904.44
10285,47,137.97,9,6484.59,27/08/2019,342,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,0.0,Mediana,Distante,Completado,6484.59
10298,39,96.34,1,3757.26,27/09/2019,312,Shipped,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,44000,France,Schmitt,Carine,Medium,0.0,Pequeña,Distante,Completado,3757.26
10308,34,118.94,2,4043.96,15/10/2019,295,Shipped,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium,0.0,Pequeña,Distante,Completado,4043.96
10318,45,123.7,4,5566.5,02/11/2019,278,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium,0.0,Mediana,Distante,Completado,5566.5
10329,20,158.8,2,3176.0,15/11/2019,266,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,0.0,Pequeña,Distante,Completado,3176.0
10339,40,68.92,4,2756.8,23/11/2019,259,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,0.0,Pequeña,Distante,Completado,2756.8
10361,26,51.15,8,1329.9,17/12/2019,236,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,1.709705056344327e-16,Pequeña,Distante,Completado,1329.8999999999999
10374,39,135.59,5,5288.01,02/02/2020,190,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium,0.0,Mediana,Distante,Completado,5288.01
10388,50,44.51,5,2225.5,03/03/2020,161,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,0.0,Pequeña,Distante,Completado,2225.5
10402,45,129.64,1,5833.8,07/04/2020,127,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Medium,1.5590090537435775e-16,Mediana,Distante,Completado,5833.799999999999
10417,45,130.83,5,5887.35,13/05/2020,92,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium,0.0,Mediana,Distante,Retrasado,5887.35
10107,27,224.65,4,6065.55,24/02/2018,902,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,0.0,Mediana,Distante,Completado,6065.55
10120,46,201.41,2,9264.86,29/04/2018,839,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large,0.0,Mediana,Distante,Completado,9264.86
10134,31,226.58,4,7023.98,01/07/2018,777,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Large,-1.294842385332715e-16,Mediana,Distante,Completado,7023.9800000000005
10145,33,156.86,8,5176.38,25/08/2018,723,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium,0.0,Mediana,Distante,Completado,5176.38
10168,20,209.15,3,4183.0,28/10/2018,660,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,0.0,Pequeña,Distante,Completado,4183.0
10180,41,216.9,11,8892.9,11/11/2018,647,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Large,0.0,Mediana,Distante,Completado,8892.9
10188,45,193.66,3,8714.7,18/11/2018,641,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Large,0.0,Mediana,Distante,Completado,8714.7
10210,34,180.1,1,6123.4,12/01/2019,587,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Medium,0.0,Mediana,Distante,Completado,6123.4
10223,49,199.47,3,9774.03,20/02/2019,549,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Large,0.0,Mediana,Distante,Completado,9774.03
10237,39,180.1,9,7023.9,05/04/2019,506,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Large,0.0,Mediana,Distante,Completado,7023.9
10251,43,164.61,4,7078.23,18/05/2019,464,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Large,-1.284918265968933e-16,Mediana,Distante,Completado,7078.2300000000005
10263,41,203.34,4,8336.94,28/06/2019,424,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Large,0.0,Mediana,Distante,Completado,8336.94
10275,36,191.72,3,6901.92,23/07/2019,400,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium,0.0,Mediana,Distante,Completado,6901.92
10285,27,201.41,8,5438.07,27/08/2019,366,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,0.0,Mediana,Distante,Completado,5438.07
10299,29,230.46,11,6683.34,30/09/2019,333,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,0.0,Mediana,Distante,Completado,6683.34
10308,20,228.52,1,4570.4,15/10/2019,319,Shipped,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium,-1.9899674027939092e-16,Pequeña,Distante,Completado,4570.400000000001
10318,37,207.22,3,7667.14,02/11/2019,302,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Large,0.0,Mediana,Distante,Completado,7667.14
10329,26,225.7,3,5868.2,15/11/2019,290,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,0.0,Mediana,Distante,Completado,5868.2
10339,39,76.67,3,2990.13,23/11/2019,283,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small,0.0,Pequeña,Distante,Completado,2990.13
10362,22,166.55,4,3664.1,05/01/2020,241,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,-1.2410888100392023e-16,Pequeña,Distante,Completado,3664.1000000000004
10374,22,174.29,1,3834.38,02/02/2020,214,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Medium,1.185973614734231e-16,Pequeña,Distante,Completado,3834.3799999999997
10388,21,86.77,7,1822.17,03/03/2020,185,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small,1.2478181258786614e-16,Pequeña,Distante,Completado,1822.1699999999998
10403,66,180.1,9,11886.6,08/04/2020,150,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Large,0.0,Mediana,Distante,Completado,11886.6
10417,56,164.61,4,9218.16,13/05/2020,116,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,0.0,Mediana,Distante,Retrasado,9218.16
10105,50,144.16,2,7208.0,11/02/2018,939,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Large,0.0,Mediana,Distante,Completado,7208.0
10119,46,108.8,11,5004.8,28/04/2018,864,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Medium,0.0,Mediana,Distante,Completado,5004.8
10129,33,133.28,2,4398.24,12/06/2018,820,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium,0.0,Pequeña,Distante,Completado,4398.24
10143,49,114.24,15,5597.76,10/08/2018,762,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,Medium,1.6247475807696795e-16,Mediana,Distante,Completado,5597.759999999999
10155,32,141.44,13,4526.08,06/10/2018,706,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Medium,0.0,Pequeña,Distante,Completado,4526.08
10167,44,134.64,9,5924.16,23/10/2018,690,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium,0.0,Mediana,Distante,Retrasado,5924.16
10178,24,145.52,12,3492.48,08/11/2018,675,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Medium,-1.3020757481401874e-16,Pequeña,Distante,Completado,3492.4800000000005
10186,26,148.24,9,3854.24,14/11/2018,670,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK,Hardy,Thomas,Medium,-1.1798625692392383e-16,Pequeña,Distante,Completado,3854.2400000000002
